 China;1385566537
 India;1252139596
 United States;320050716
 Indonesia;249865631
 Brazil;205361925
 Pakistan;182142594
 Nigeria;173615345
 Bangladesh;156594962
 Russia;142833689
 Japan;127143577
 Mexico;122332399
 Philippines;98393574
 Ethiopia;94100756
 Vietnam;91679733
 Germany;82726626
 Egypt;82056378
Iran, Islamic Republic of;77447168
 Turkey;74932641
 Congo, Democratic Republic of the;67513677
 Thailand;67010502
 France;64291280
 United Kingdom;63136265
 Italy;60990277
 Myanmar;53259018
 South Africa;52776130
 Korea, South;49262698
Tanzania, United Republic of;49253126
 Colombia;48321405
 Spain;46926963
 Ukraine;45238805
 Kenya;44353691
 Argentina;41446246
 Algeria;39208194
 Poland;38216635
 Sudan;37964306
 Uganda;37578876
 Canada;35181704
 Iraq;33765232
 Morocco;33008150
 Afghanistan;30551674
 Venezuela, Bolivarian Republic of;30405207
 Peru;30375603
 Malaysia;29716965
 Uzbekistan;28934102
 Saudi Arabia;28828870
   Nepal;27797457
 Ghana;25904598
 Mozambique;25833752
 Korea, North;24895480
 Yemen;24407381
 Australia;23342553
 Taiwan;23329772
 Madagascar;22924851
 Cameroon;22253959
Syrian Arab Republic;21898061
 Romania;21698585
 Angola;21471618
 Sri Lanka;21273228
 C»te d'Ivoire;20316086
 Niger;17831270
 Chile;17619708
 Burkina Faso;16934839
 Netherlands;16759229
 Kazakhstan;16440586
 Malawi;16362567
 Ecuador;15737878
 Guatemala;15468203
 Mali;15301650
 Cambodia;15135169
 Zambia;14538640
 Zimbabwe;14149648
 Senegal;14133280
 Chad;12825314
 Rwanda;11776522
 Guinea;11745189
 South Sudan;11296173
 Cuba;11265629
 Greece;11127990
 Belgium;11104476
 Tunisia;10996515
 Czech Republic;10702197
Bolivia, Plurinational State of;10671200
 Portugal;10608156
 Somalia;10495583
 Dominican Republic;10403761
 Benin;10323474
 Haiti;10317461
 Burundi;10162532
 Hungary;9954941
 Sweden;9571105
 Serbia;9510506
 Azerbaijan;9413420
 Belarus;9356678
 United Arab Emirates;9346129
 Austria;8495145
 Tajikistan;8207834
 Honduras;8097688
  Switzerland;8077833
 Israel;7733144
 Papua New Guinea;7321262
 Jordan;7273799
 Bulgaria;7222943
 Hong Kong;7203836
 Togo;6816982
 Paraguay;6802295
 Laos;6769727
 El Salvador;6340454
 Eritrea;6333135
 Libya;6201521
 Sierra Leone;6092075
 Nicaragua;6080478
 Denmark;5619096
 Kyrgyzstan;5547548
 Slovakia;5450223
 Finland;5426323
 Singapore;5411737
 Turkmenistan;5240072
 Norway;5042671
 Costa Rica;4872166
 Lebanon;4821971
 Ireland;4627173
 Central African Republic;4616417
 New Zealand;4505761
Congo;4447632
 Georgia;4340895
 Palestine;4326295
 Liberia;4294077
 Croatia;4289714
 Mauritania;3889880
 Panama;3864170
 Bosnia and Herzegovina;3829307
 Puerto Rico;3688318
 Oman;3632444
Moldova, Republic of;3487204
 Uruguay;3407062
 Kuwait;3368572
 Albania;3173271
 Lithuania;3016933
 Armenia;2976566
 Mongolia;2839073
 Jamaica;2783888
 Namibia;2303315
 Qatar;2168673
 Macedonia;2107158
 Lesotho;2074465
 Slovenia;2071997
 Latvia;2050317
 Botswana;2021144
 Gambia;1849285
 Guinea-Bissau;1704255
 Gabon;1671711
 Trinidad and Tobago;1341151
 Bahrain;1332171
 Estonia;1287251
 Swaziland;1249514
 Mauritius;1244403
 Cyprus;1141166
 Timor-Leste;1132879
 Fiji;881065
 R_union;875375
 Djibouti;872932
 Guyana;799613
 Equatorial Guinea;757014
 Bhutan;753947
 Comoros;734917
 Montenegro;621383
Western Sahara;567315
 Macau;566375
 Solomon Islands;561231
 Suriname;539276
 Luxembourg;53038
 Cape Verde;498897
 Guadeloupe;4658
 Malta;429004
 Brunei;417784
 Martinique;403682
 Bahamas;377374
 Maldives;345023
 Belize;3319
 Iceland;329535
 Barbados;284644
 French Polynesia;276831
 New Caledonia;256496
 Vanuatu;252763
 French Guiana;249227
 Mayotte;222152
 S†o Tom_ and PrÍncipe;192993
 Samoa;190372
 Saint Lucia;182273
 Guam;165124
 Guernsey &  Jersey;162018
 Curaçao;15876
 Saint Vincent and the Grenadines;109373
 Virgin Islands, United States;106627
 Grenada;105897
 Tonga;105323
 Micronesia, Federated States of;103549
 Aruba;102911
 Kiribati;102351
 Seychelles;92838
 Antigua and Barbuda;89985
 Isle of Man;85888
 Andorra;79218
 Dominica;72003
 Bermuda;65341
 Cayman Islands;58435
 Greenland;56987
 American Samoa;55165
 Saint Kitts and Nevis;54191
 Northern Mariana Islands;53855
 Marshall Islands;52634
 Faroe Islands;49469
 Sint Maarten;45233
 Monaco;37831
 Liechtenstein;36925
 Turks and Caicos Islands;33098
 San Marino;31448
 Gibraltar;2931
 Virgin Islands, British;28341
 Palau;20918
 Cook Islands;20629
 Caribbean Netherlands;1913
 Anguilla;143
 Wallis and Futuna;13272
 Nauru;10051
 Tuvalu;9876
 Saint Pierre and Miquelon;6043
 Montserrat;5091
 Saint Helena, Ascension and Tristan da Cunha;4129
 Falkland Islands;3044
 Niue;1344
 Tokelau;1195
  Vatican City;799
