Country	Life Expectancy	Well-being (0-10)	Ecological Footprint	Happy Planet Index	Population
Afghanistan	48,7	4,8	0,54	36,8	34385000
Albania	76,9	5,3	1,81	54,1	3205000
Algeria	73,1	5,2	1,65	52,2	35468000
Angola	51,1	4,2	0,89	33,2	19082000
Argentina	75,9	6,4	2,71	54,1	40412000
Armenia	74,2	4,4	1,73	46,0	3092000
Australia	81,9	7,4	6,68	42,0	22299000
Austria	80,9	7,3	5,29	47,1	8390000
Azerbaijan	70,7	4,2	1,97	40,9	9054000
Bahrain	75,1	4,5	6,65	26,6	1262000
Bangladesh	68,9	5,0	0,66	56,3	148692000
Belarus	70,3	5,5	3,99	37,4	9490000
Belgium	80,0	6,9	7,11	37,1	10896000
Belize	76,1	6,5	2,11	59,3	345000
Benin	56,1	3,7	1,36	31,1	8850000
Bolivia	66,6	5,8	2,61	43,6	9929000
Bosnia and Herzegovina	75,7	4,7	2,74	42,4	3760000
Botswana	53,2	3,6	2,84	22,6	2007000
Brazil	73,5	6,8	2,93	52,9	194946000
Bulgaria	73,4	4,2	3,56	34,1	7534000
Burkina Faso	55,4	4,0	1,53	31,8	16468000
Burundi	50,4	3,8	0,85	30,5	8382000
Cambodia	63,1	4,2	1,19	40,3	14139000
Cameroon	51,6	4,4	1,09	33,7	19599000
Canada	81,0	7,7	6,43	43,6	34126000
Central African Republic	48,4	3,6	1,36	25,3	4401000
Chad	49,6	3,7	1,89	24,7	11227000
Chile	79,1	6,6	3,24	53,9	17113688 
China	73,5	4,7	2,13	44,7	1338300000
Colombia	73,7	6,4	1,80	59,8	46295000
Comoros	61,1	3,9	1,30	36,5	735000
Congo	57,4	3,8	1,08	34,5	4043000
Democratic Republic of the Congo	48,4	4,0	0,76	30,5	65965000
Costa Rica	79,3	7,3	2,52	64,0	4659000
Cote d'Ivoire	55,4	4,2	0,99	35,9	19738000
Croatia	76,6	5,6	4,19	40,6	4418000
Cuba	79,1	5,4	1,90	56,2	11258000
Cyprus	79,6	6,4	4,44	45,5	1103000
Czech Republic	77,7	6,2	5,27	39,4	10520000
Denmark	78,8	7,8	8,25	36,6	5547000
Djibouti	57,9	5,0	1,85	37,2	889000
Dominican Republic	73,4	4,7	1,42	50,7	9927000
Ecuador	75,6	5,8	2,37	52,5	14465000
Egypt	73,2	3,9	2,06	39,6	81121000
El Salvador	72,2	6,7	1,99	58,9	6193000
Estonia	74,8	5,1	4,73	34,9	1340000
Ethiopia	59,3	4,4	1,13	39,2	82950000
Finland	80,0	7,4	6,21	42,7	5364000
France	81,5	6,8	4,91	46,5	64895000
Georgia	73,7	4,1	1,43	46,0	4452000
Germany	80,4	6,7	4,57	47,2	81777000
